key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_GAIUSB204_00835_SEQ_00","太陽海岸的菲利爾森，有些想法想要實施。"
1,"TEXT_GAIUSB204_00835_SEQ_01","地靈族將<hex:02280CFF05>EObj<hex:F61E8C850103>拿了出去，他們似乎在謀劃著什麼。使用<hex:022811FF0A>EventItem<hex:F61E870B0103>爆破3個<hex:02280CFF05>EObj<hex:F61E8C850103>。"
2,"TEXT_GAIUSB204_00835_SEQ_02","對全部<hex:02280CFF05>EObj<hex:F61E8C850103>進行了爆破。向太陽海岸的菲利爾森報告。"
3,"TEXT_GAIUSB204_00835_SEQ_03","地靈族幹的壞事，性質越來越惡劣。菲利爾森似乎很信賴冒險者。"
4,"TEXT_GAIUSB204_00835_SEQ_04","無"
5,"TEXT_GAIUSB204_00835_SEQ_05","無"
6,"TEXT_GAIUSB204_00835_SEQ_06","無"
7,"TEXT_GAIUSB204_00835_SEQ_07","無"
8,"TEXT_GAIUSB204_00835_SEQ_08","無"
9,"TEXT_GAIUSB204_00835_SEQ_09","無"
10,"TEXT_GAIUSB204_00835_SEQ_10","無"
11,"TEXT_GAIUSB204_00835_SEQ_11","無"
12,"TEXT_GAIUSB204_00835_SEQ_12","無"
13,"TEXT_GAIUSB204_00835_SEQ_13","無"
14,"TEXT_GAIUSB204_00835_SEQ_14","無"
15,"TEXT_GAIUSB204_00835_SEQ_15","無"
16,"TEXT_GAIUSB204_00835_SEQ_16","無"
17,"TEXT_GAIUSB204_00835_SEQ_17","無"
18,"TEXT_GAIUSB204_00835_SEQ_18","無"
19,"TEXT_GAIUSB204_00835_SEQ_19","無"
20,"TEXT_GAIUSB204_00835_SEQ_20","無"
21,"TEXT_GAIUSB204_00835_SEQ_21","無"
22,"TEXT_GAIUSB204_00835_SEQ_22","無"
23,"TEXT_GAIUSB204_00835_SEQ_23","無"
24,"TEXT_GAIUSB204_00835_TODO_00","用<hex:022811FF0A>EventItem<hex:F61E870B0103>破壞<hex:02280CFF05>EObj<hex:F61E8C850103>"
25,"TEXT_GAIUSB204_00835_TODO_01","向菲利爾森報告"
26,"TEXT_GAIUSB204_00835_TODO_02","無"
27,"TEXT_GAIUSB204_00835_TODO_03","無"
28,"TEXT_GAIUSB204_00835_TODO_04","無"
29,"TEXT_GAIUSB204_00835_TODO_05","無"
30,"TEXT_GAIUSB204_00835_TODO_06","無"
31,"TEXT_GAIUSB204_00835_TODO_07","無"
32,"TEXT_GAIUSB204_00835_TODO_08","無"
33,"TEXT_GAIUSB204_00835_TODO_09","無"
34,"TEXT_GAIUSB204_00835_TODO_10","無"
35,"TEXT_GAIUSB204_00835_TODO_11","無"
36,"TEXT_GAIUSB204_00835_TODO_12","無"
37,"TEXT_GAIUSB204_00835_TODO_13","無"
38,"TEXT_GAIUSB204_00835_TODO_14","無"
39,"TEXT_GAIUSB204_00835_TODO_15","無"
40,"TEXT_GAIUSB204_00835_TODO_16","無"
41,"TEXT_GAIUSB204_00835_TODO_17","無"
42,"TEXT_GAIUSB204_00835_TODO_18","無"
43,"TEXT_GAIUSB204_00835_TODO_19","無"
44,"TEXT_GAIUSB204_00835_TODO_20","無"
45,"TEXT_GAIUSB204_00835_TODO_21","無"
46,"TEXT_GAIUSB204_00835_TODO_22","無"
47,"TEXT_GAIUSB204_00835_TODO_23","無"
48,"TEXT_GAIUSB204_00835_FYRILSUNN_000_000","地靈族將<hex:02280CFF05>EObj<hex:F61E8C850103>拿了出去，<hex:02100103>他們似乎在計畫著什麼。<hex:02100103>要是繼續放任他們隨意出入，這裡就危險了。"
49,"TEXT_GAIUSB204_00835_FYRILSUNN_000_001","從這身打扮來看，你是冒險者吧？<hex:02100103>你去把這<hex:022811FF0A>EventItem<hex:F61E870B0103>設置在<hex:02280CFF05>EObj<hex:F61E8C850103>中，<hex:02100103>對它們進行爆破吧。"
50,"TEXT_GAIUSB204_00835_DUMMY_000_010","（對3個地靈族提煉機使用炸藥<hex:02100103>打倒隨後出現的2隻炸彈）"
51,"TEXT_GAIUSB204_00835_FYRILSUNN_000_020","哦，看樣子你把它們都破壞掉啦！<hex:02100103>地靈族幹的壞事，性質越發惡劣。<hex:02100103>單靠我們已經無法解決了……"
52,"TEXT_GAIUSB204_00835_FYRILSUNN_000_021","但多虧有你在，事情順利解決了。<hex:02100103>你真是幫上大忙了！<hex:02100103>要是我碰上什麼困難，你要再來幫忙啊！"
53,"TEXT_GAIUSB204_00835_POP_MESSAGE_000","察覺到了敵人的氣息！"
