key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_GAIUSC307_00974_SEQ_00","十二神大聖堂的梅爾溫，想要為冒險者提供情報。"
1,"TEXT_GAIUSC307_00974_SEQ_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整。建議放棄本任務，前往小麥酒港找西艾娜重新領取。<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103>※接下來的主線任務可以在主線導覽中進行確認。在設定選單的系統中可以找到角色設定，打開角色設定後，在介面設定的介面選項中可以顯示或隱藏主線導覽。"
2,"TEXT_GAIUSC307_00974_SEQ_02","這還遠遠不夠。將<hex:022811FF0A>EventItem<hex:F61E88220103>放在<hex:02280CFF05>EObj<hex:F61E8D120103>上。"
3,"TEXT_GAIUSC307_00974_SEQ_03","獲得了<hex:022811FF0A>EventItem<hex:F61E87700103>。與龍紋岩的提吉交談。"
4,"TEXT_GAIUSC307_00974_SEQ_04","這下子就可以把格吉引誘出來了。在<hex:02280CFF05>EObj<hex:F61E8D130103>使用<hex:022811FF0A>EventItem<hex:F61E87700103>，從<hex:02280FFF09>BNpcName<hex:F207BE0103>身上獲得<hex:022811FF0A>EventItem<hex:F61E87710103>。"
5,"TEXT_GAIUSC307_00974_SEQ_05","終於獲得了<hex:022811FF0A>EventItem<hex:F61E87710103>。將其交給格里達尼亞舊街的赫丁。"
6,"TEXT_GAIUSC307_00974_SEQ_06","將<hex:022811FF0A>EventItem<hex:F61E87710103>交給了赫丁。終於集齊了改造飛空艇企業號所需的水晶。"
7,"TEXT_GAIUSC307_00974_SEQ_07","無"
8,"TEXT_GAIUSC307_00974_SEQ_08","無"
9,"TEXT_GAIUSC307_00974_SEQ_09","無"
10,"TEXT_GAIUSC307_00974_SEQ_10","無"
11,"TEXT_GAIUSC307_00974_SEQ_11","無"
12,"TEXT_GAIUSC307_00974_SEQ_12","無"
13,"TEXT_GAIUSC307_00974_SEQ_13","無"
14,"TEXT_GAIUSC307_00974_SEQ_14","無"
15,"TEXT_GAIUSC307_00974_SEQ_15","無"
16,"TEXT_GAIUSC307_00974_SEQ_16","無"
17,"TEXT_GAIUSC307_00974_SEQ_17","無"
18,"TEXT_GAIUSC307_00974_SEQ_18","無"
19,"TEXT_GAIUSC307_00974_SEQ_19","無"
20,"TEXT_GAIUSC307_00974_SEQ_20","無"
21,"TEXT_GAIUSC307_00974_SEQ_21","無"
22,"TEXT_GAIUSC307_00974_SEQ_22","無"
23,"TEXT_GAIUSC307_00974_SEQ_23","無"
24,"TEXT_GAIUSC307_00974_TODO_00","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往小麥酒港找西艾娜重新領取<hex:0249020103><hex:0248020103>"
25,"TEXT_GAIUSC307_00974_TODO_01","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往小麥酒港找西艾娜重新領取<hex:0249020103><hex:0248020103>"
26,"TEXT_GAIUSC307_00974_TODO_02","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往小麥酒港找西艾娜重新領取<hex:0249020103><hex:0248020103>"
27,"TEXT_GAIUSC307_00974_TODO_03","<hex:024804F2021503><hex:024904F2021603><hex:0212024003>本任務已經過調整 建議放棄本任務<hex:02100103>前往小麥酒港找西艾娜重新領取<hex:0249020103><hex:0248020103>"
