key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_JOBBRD400_01087_SEQ_00","讓泰爾想要教冒險者掌握新戰歌的方法。"
1,"TEXT_JOBBRD400_01087_SEQ_01","讓泰爾教導了掌握新戰歌的方法。在東薩納蘭新植林的<hex:02280CFF05>EObj<hex:F61E8DBE0103>等待，討伐出現的魔牛。"
2,"TEXT_JOBBRD400_01087_SEQ_02","成功討伐了魔牛。向南部林區石場水車西邊的讓泰爾報告。"
3,"TEXT_JOBBRD400_01087_SEQ_03","向讓泰爾報告完畢。讓泰爾認同了冒險者的成長，並約定說下次要將«罪孽深重的愚者»唱給冒險者聽。為了能從任何詩歌中都領悟到教訓，繼續進行磨練。<hex:02100103><hex:02100103>※吟遊詩人的等級達到45級以上時，可以從讓泰爾那裡領取下一個吟遊詩人任務。"
4,"TEXT_JOBBRD400_01087_SEQ_04","空"
5,"TEXT_JOBBRD400_01087_SEQ_05","空"
6,"TEXT_JOBBRD400_01087_SEQ_06","空"
7,"TEXT_JOBBRD400_01087_SEQ_07","空"
8,"TEXT_JOBBRD400_01087_SEQ_08","空"
9,"TEXT_JOBBRD400_01087_SEQ_09","空"
10,"TEXT_JOBBRD400_01087_SEQ_10","空"
11,"TEXT_JOBBRD400_01087_SEQ_11","空"
12,"TEXT_JOBBRD400_01087_SEQ_12","空"
13,"TEXT_JOBBRD400_01087_SEQ_13","空"
14,"TEXT_JOBBRD400_01087_SEQ_14","空"
15,"TEXT_JOBBRD400_01087_SEQ_15","空"
16,"TEXT_JOBBRD400_01087_SEQ_16","空"
17,"TEXT_JOBBRD400_01087_SEQ_17","空"
18,"TEXT_JOBBRD400_01087_SEQ_18","空"
19,"TEXT_JOBBRD400_01087_SEQ_19","空"
20,"TEXT_JOBBRD400_01087_SEQ_20","空"
21,"TEXT_JOBBRD400_01087_SEQ_21","空"
22,"TEXT_JOBBRD400_01087_SEQ_22","空"
23,"TEXT_JOBBRD400_01087_SEQ_23","空"
24,"TEXT_JOBBRD400_01087_TODO_00","在新植林的<hex:02280CFF05>EObj<hex:F61E8DBE0103>等待並討伐魔牛"
25,"TEXT_JOBBRD400_01087_TODO_01","向石場水車西邊的讓泰爾報告"
26,"TEXT_JOBBRD400_01087_TODO_02","空"
27,"TEXT_JOBBRD400_01087_TODO_03","空"
28,"TEXT_JOBBRD400_01087_TODO_04","空"
29,"TEXT_JOBBRD400_01087_TODO_05","空"
30,"TEXT_JOBBRD400_01087_TODO_06","空"
31,"TEXT_JOBBRD400_01087_TODO_07","空"
32,"TEXT_JOBBRD400_01087_TODO_08","空"
33,"TEXT_JOBBRD400_01087_TODO_09","空"
34,"TEXT_JOBBRD400_01087_TODO_10","空"
35,"TEXT_JOBBRD400_01087_TODO_11","空"
36,"TEXT_JOBBRD400_01087_TODO_12","空"
37,"TEXT_JOBBRD400_01087_TODO_13","空"
38,"TEXT_JOBBRD400_01087_TODO_14","空"
39,"TEXT_JOBBRD400_01087_TODO_15","空"
40,"TEXT_JOBBRD400_01087_TODO_16","空"
41,"TEXT_JOBBRD400_01087_TODO_17","空"
42,"TEXT_JOBBRD400_01087_TODO_18","空"
43,"TEXT_JOBBRD400_01087_TODO_19","空"
44,"TEXT_JOBBRD400_01087_TODO_20","空"
45,"TEXT_JOBBRD400_01087_TODO_21","空"
46,"TEXT_JOBBRD400_01087_TODO_22","空"
47,"TEXT_JOBBRD400_01087_TODO_23","空"
