key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANSYL104_01260_SEQ_00","風精靈暫留地的特那克希亞有很緊急的事情想要委託給冒險者。"
1,"TEXT_BANSYL104_01260_SEQ_01","接受了特那克希亞的委託。調查百靈啼的<hex:02280CFF05>EObj<hex:F61E91150103>，獲取<hex:022811FF0A>EventItem<hex:F61E891A0103>。"
2,"TEXT_BANSYL104_01260_SEQ_02","獲得了<hex:022811FF0A>EventItem<hex:F61E891A0103>。對百靈啼的<hex:02280CFF05>EObj<hex:F61E911D0103>使用<hex:022811FF0A>EventItem<hex:F61E891A0103>，救出被捉的風精靈。"
3,"TEXT_BANSYL104_01260_SEQ_03","對<hex:02280CFF05>EObj<hex:F61E911D0103>使用了<hex:022811FF0A>EventItem<hex:F61E891A0103>，救出了被捉的風精靈。向風精靈暫留地的特那克希亞報告。"
4,"TEXT_BANSYL104_01260_SEQ_04","順利地救出了特那克希亞的夥伴。特那克希亞為有冒險者這樣的朋友而感到高興。下次有機會再協助他。"
5,"TEXT_BANSYL104_01260_SEQ_05","空欄"
6,"TEXT_BANSYL104_01260_SEQ_06","空欄"
7,"TEXT_BANSYL104_01260_SEQ_07","空欄"
8,"TEXT_BANSYL104_01260_SEQ_08","空欄"
9,"TEXT_BANSYL104_01260_SEQ_09","空欄"
10,"TEXT_BANSYL104_01260_SEQ_10","空欄"
11,"TEXT_BANSYL104_01260_SEQ_11","空欄"
12,"TEXT_BANSYL104_01260_SEQ_12","空欄"
13,"TEXT_BANSYL104_01260_SEQ_13","空欄"
14,"TEXT_BANSYL104_01260_SEQ_14","空欄"
15,"TEXT_BANSYL104_01260_SEQ_15","空欄"
16,"TEXT_BANSYL104_01260_SEQ_16","空欄"
17,"TEXT_BANSYL104_01260_SEQ_17","空欄"
18,"TEXT_BANSYL104_01260_SEQ_18","空欄"
19,"TEXT_BANSYL104_01260_SEQ_19","空欄"
20,"TEXT_BANSYL104_01260_SEQ_20","空欄"
21,"TEXT_BANSYL104_01260_SEQ_21","空欄"
22,"TEXT_BANSYL104_01260_SEQ_22","空欄"
23,"TEXT_BANSYL104_01260_SEQ_23",""
24,"TEXT_BANSYL104_01260_TODO_00","調查百靈啼的<hex:02280CFF05>EObj<hex:F61E91150103> 獲取<hex:022811FF0A>EventItem<hex:F61E891A0103>"
25,"TEXT_BANSYL104_01260_TODO_01","對<hex:02280CFF05>EObj<hex:F61E911D0103>使用<hex:022811FF0A>EventItem<hex:F61E891A0103>"
26,"TEXT_BANSYL104_01260_TODO_02","向特那克希亞報告"
27,"TEXT_BANSYL104_01260_TODO_03","空欄"
28,"TEXT_BANSYL104_01260_TODO_04","空欄"
29,"TEXT_BANSYL104_01260_TODO_05","空欄"
30,"TEXT_BANSYL104_01260_TODO_06","空欄"
31,"TEXT_BANSYL104_01260_TODO_07","空欄"
32,"TEXT_BANSYL104_01260_TODO_08","空欄"
33,"TEXT_BANSYL104_01260_TODO_09","空欄"
34,"TEXT_BANSYL104_01260_TODO_10","空欄"
35,"TEXT_BANSYL104_01260_TODO_11","空欄"
36,"TEXT_BANSYL104_01260_TODO_12","空欄"
37,"TEXT_BANSYL104_01260_TODO_13","空欄"
38,"TEXT_BANSYL104_01260_TODO_14","空欄"
39,"TEXT_BANSYL104_01260_TODO_15","空欄"
40,"TEXT_BANSYL104_01260_TODO_16","空欄"
41,"TEXT_BANSYL104_01260_TODO_17","空欄"
42,"TEXT_BANSYL104_01260_TODO_18","空欄"
43,"TEXT_BANSYL104_01260_TODO_19","空欄"
