key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANKOB206_01340_SEQ_00","第789洞穴團採礦地的第789團工匠博古，想要消除不滿。"
1,"TEXT_BANKOB206_01340_SEQ_01","第789團工匠博古想除掉守護第13洞穴團鍊金工坊的<hex:02280FFF09>BNpcName<hex:F20A8C0103>。和黑金湖的第13團錬金術師加吉談談，他知道通往第13洞穴團鍊金工坊的暗道。"
2,"TEXT_BANKOB206_01340_SEQ_02","第13團錬金術師加吉告訴了冒險者破壞控制<hex:02280FFF09>BNpcName<hex:F20A8C0103>的<hex:02280CFF05>EObj<hex:F61E92BF0103>的方法。為了讓<hex:02280CFF05>EObj<hex:F61E92BF0103>過熱，討伐4隻第13洞穴團鍊金工坊<hex:02280CFF05>EObj<hex:F61E92BF0103>附近的<hex:02280FFF09>BNpcName<hex:F20A8C0103>。"
3,"TEXT_BANKOB206_01340_SEQ_03","討伐了<hex:02280CFF05>EObj<hex:F61E92BF0103>附近的<hex:02280FFF09>BNpcName<hex:F20A8C0103>，成功令<hex:02280CFF05>EObj<hex:F61E92BF0103>過熱。對第13洞穴團鍊金工坊裡的<hex:02280CFF05>EObj<hex:F61E92BF0103>使用<hex:022811FF0A>EventItem<hex:F61E89460103>，破壞掉它。"
4,"TEXT_BANKOB206_01340_SEQ_04","破壞了<hex:02280CFF05>EObj<hex:F61E92BF0103>。向第789洞穴團採礦地的第789團工匠博古報告。"
5,"TEXT_BANKOB206_01340_SEQ_05","將成功破壞<hex:02280CFF05>EObj<hex:F61E92BF0103>一事向第789團工匠博古報告完畢。他洋洋得意地說，今後就可以無法無天了。如果今後警備被加強，再去協助他。"
6,"TEXT_BANKOB206_01340_SEQ_06","無"
7,"TEXT_BANKOB206_01340_SEQ_07","無"
8,"TEXT_BANKOB206_01340_SEQ_08","無"
9,"TEXT_BANKOB206_01340_SEQ_09","無"
10,"TEXT_BANKOB206_01340_SEQ_10","無"
11,"TEXT_BANKOB206_01340_SEQ_11","無"
12,"TEXT_BANKOB206_01340_SEQ_12","無"
13,"TEXT_BANKOB206_01340_SEQ_13","無"
14,"TEXT_BANKOB206_01340_SEQ_14","無"
15,"TEXT_BANKOB206_01340_SEQ_15","無"
16,"TEXT_BANKOB206_01340_SEQ_16","無"
17,"TEXT_BANKOB206_01340_SEQ_17","無"
18,"TEXT_BANKOB206_01340_SEQ_18","無"
19,"TEXT_BANKOB206_01340_SEQ_19","無"
20,"TEXT_BANKOB206_01340_SEQ_20","無"
21,"TEXT_BANKOB206_01340_SEQ_21","無"
22,"TEXT_BANKOB206_01340_SEQ_22","無"
23,"TEXT_BANKOB206_01340_SEQ_23","無"
24,"TEXT_BANKOB206_01340_TODO_00","和黑金湖的第13團錬金術師加吉對話"
25,"TEXT_BANKOB206_01340_TODO_01","討伐第13洞穴團鍊金工坊裡<hex:02280CFF05>EObj<hex:F61E92BF0103>附近的<hex:02280FFF09>BNpcName<hex:F20A8C0103>"
26,"TEXT_BANKOB206_01340_TODO_02","對<hex:02280CFF05>EObj<hex:F61E92BF0103>使用<hex:022811FF0A>EventItem<hex:F61E89460103>"
27,"TEXT_BANKOB206_01340_TODO_03","向第789團工匠博古報告"
28,"TEXT_BANKOB206_01340_TODO_04","無"
29,"TEXT_BANKOB206_01340_TODO_05","無"
30,"TEXT_BANKOB206_01340_TODO_06","無"
31,"TEXT_BANKOB206_01340_TODO_07","無"
32,"TEXT_BANKOB206_01340_TODO_08","無"
33,"TEXT_BANKOB206_01340_TODO_09","無"
34,"TEXT_BANKOB206_01340_TODO_10","無"
