key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_BANIXA606_01567_SEQ_00","<hex:024804F201FC03><hex:024904F201FD03>特殊規則： 等級調整<hex:0249020103><hex:0248020103><hex:02100103>※本任務推薦等級為：<hex:02100103>　製作職業16級以上、戰鬥職業49級以上。<hex:02100103><hex:02100103>長風實驗場的第二號人物傑茲爾·阿華坦有個險惡的委託要交給冒險者。"
1,"TEXT_BANIXA606_01567_SEQ_01","※本任務為<hex:024804F201FC03><hex:024904F201FD03><hex:0249020103><hex:0248020103> 等級調整任務。<hex:02100103><hex:02100103>第二號人物傑茲爾·阿華坦委託冒險者製作<hex:022813FF07>ItemHQ<hex:FF08>　8126<hex:0103>。首先，前往庫爾札斯中央高地的風揚殖民地，從<hex:02280CFF05>EObj<hex:F61E960A0103>中取得3個<hex:022811FF0A>EventItem<hex:F61E8A170103>。"
2,"TEXT_BANIXA606_01567_SEQ_02","獲得了<hex:022811FF0A>EventItem<hex:F61E8A170103>。將<hex:022811FF0A>EventItem<hex:F61E8A170103>交給巨龍首營地的諾貝托，獲取製作設施的使用許可。"
3,"TEXT_BANIXA606_01567_SEQ_03","可以使用製作設施了。用<hex:022811FF05>Item<hex:FF08>　8083<hex:0103>製作<hex:022813FF07>ItemHQ<hex:FF08>　8126<hex:0103>，並將其交給長風實驗場的第二號人物傑茲爾·阿華坦。<hex:02100103><hex:02100103>※如果「製作設施：精密工作II」的狀態效果消失了，或者<hex:022811FF05>Item<hex:FF08>　8083<hex:0103>不足的話，就和諾貝托對話，即可重獲狀態效果和材料，並再次進行挑戰。"
4,"TEXT_BANIXA606_01567_SEQ_04","將<hex:022813FF07>ItemHQ<hex:FF08>　8126<hex:0103>交給了第二號人物傑茲爾·阿華坦。從毫不猶豫地下令侵入敵陣搶奪材料這點上來看，他是個不擇手段的武鬥派。執行了特攻任務的冒險者，不僅工匠能力，在戰鬥力上也得到了很高評價。"
5,"TEXT_BANIXA606_01567_SEQ_05","空"
6,"TEXT_BANIXA606_01567_SEQ_06","空"
7,"TEXT_BANIXA606_01567_SEQ_07","空"
8,"TEXT_BANIXA606_01567_SEQ_08","空"
9,"TEXT_BANIXA606_01567_SEQ_09","空"
10,"TEXT_BANIXA606_01567_SEQ_10","空"
11,"TEXT_BANIXA606_01567_SEQ_11","空"
12,"TEXT_BANIXA606_01567_SEQ_12","空"
13,"TEXT_BANIXA606_01567_SEQ_13","空"
14,"TEXT_BANIXA606_01567_SEQ_14","空"
15,"TEXT_BANIXA606_01567_SEQ_15","空"
16,"TEXT_BANIXA606_01567_SEQ_16","空"
17,"TEXT_BANIXA606_01567_SEQ_17","空"
18,"TEXT_BANIXA606_01567_SEQ_18","空"
19,"TEXT_BANIXA606_01567_SEQ_19","空"
20,"TEXT_BANIXA606_01567_SEQ_20","空"
21,"TEXT_BANIXA606_01567_SEQ_21","空"
22,"TEXT_BANIXA606_01567_SEQ_22","空"
23,"TEXT_BANIXA606_01567_SEQ_23","空"
24,"TEXT_BANIXA606_01567_TODO_00","從風揚殖民地<hex:02280CFF05>EObj<hex:F61E960A0103>中獲取<hex:022811FF0A>EventItem<hex:F61E8A170103>"
25,"TEXT_BANIXA606_01567_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E8A170103>交給巨龍首營地的諾貝托"
