key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_JOBMCH580_01710_SEQ_00","天鋼機工坊的斯特凡尼維安有事想告訴冒險者。"
1,"TEXT_JOBMCH580_01710_SEQ_01","為了洗清天鋼機工坊的嫌疑，羅斯特恩斯塔爾說要為工坊頂罪後離開了。和天鋼機工坊的斯特凡尼維安談談。"
2,"TEXT_JOBMCH580_01710_SEQ_02","和斯特凡尼維安進行了交談。調查阿巴拉提亞雲海瓦納溫杜部落的<hex:02280CFF05>EObj<hex:F61E9D020103>，取得<hex:022811FF0A>EventItem<hex:F61E8B9A0103>。"
3,"TEXT_JOBMCH580_01710_SEQ_03","得到了<hex:022811FF0A>EventItem<hex:F61E8B9A0103>。將<hex:022811FF0A>EventItem<hex:F61E8B9A0103>交給天鋼機工坊的斯特凡尼維安。"
4,"TEXT_JOBMCH580_01710_SEQ_04","將<hex:022811FF0A>EventItem<hex:F61E8B9A0103>交給了斯特凡尼維安，追加了新的機能。希望這樣能夠阻止羅斯特恩斯塔爾的自首行為……"
5,"TEXT_JOBMCH580_01710_SEQ_05","空"
6,"TEXT_JOBMCH580_01710_SEQ_06","空"
7,"TEXT_JOBMCH580_01710_SEQ_07","空"
8,"TEXT_JOBMCH580_01710_SEQ_08","空"
9,"TEXT_JOBMCH580_01710_SEQ_09","空"
10,"TEXT_JOBMCH580_01710_SEQ_10","空"
11,"TEXT_JOBMCH580_01710_SEQ_11","空"
12,"TEXT_JOBMCH580_01710_SEQ_12","空"
13,"TEXT_JOBMCH580_01710_SEQ_13","空"
14,"TEXT_JOBMCH580_01710_SEQ_14","空"
15,"TEXT_JOBMCH580_01710_SEQ_15","空"
16,"TEXT_JOBMCH580_01710_SEQ_16","空"
17,"TEXT_JOBMCH580_01710_SEQ_17","空"
18,"TEXT_JOBMCH580_01710_SEQ_18","空"
19,"TEXT_JOBMCH580_01710_SEQ_19","空"
20,"TEXT_JOBMCH580_01710_SEQ_20","空"
21,"TEXT_JOBMCH580_01710_SEQ_21","空"
22,"TEXT_JOBMCH580_01710_SEQ_22","空"
23,"TEXT_JOBMCH580_01710_SEQ_23","空"
24,"TEXT_JOBMCH580_01710_TODO_00","和斯特凡尼維安對話"
25,"TEXT_JOBMCH580_01710_TODO_01","調查瓦納溫杜部落的<hex:02280CFF05>EObj<hex:F61E9D020103><hex:02100103>獲取<hex:022811FF0A>EventItem<hex:F61E8B9A0103>"
26,"TEXT_JOBMCH580_01710_TODO_02","將<hex:022811FF0A>EventItem<hex:F61E8B9A0103>交給天鋼機工坊的斯特凡尼維安"
27,"TEXT_JOBMCH580_01710_TODO_03","空"
28,"TEXT_JOBMCH580_01710_TODO_04","空"
29,"TEXT_JOBMCH580_01710_TODO_05","空"
30,"TEXT_JOBMCH580_01710_TODO_06","空"
31,"TEXT_JOBMCH580_01710_TODO_07","空"
32,"TEXT_JOBMCH580_01710_TODO_08","空"
33,"TEXT_JOBMCH580_01710_TODO_09","空"
34,"TEXT_JOBMCH580_01710_TODO_10","空"
35,"TEXT_JOBMCH580_01710_TODO_11","空"
36,"TEXT_JOBMCH580_01710_TODO_12","空"
37,"TEXT_JOBMCH580_01710_TODO_13","空"
38,"TEXT_JOBMCH580_01710_TODO_14","空"
39,"TEXT_JOBMCH580_01710_TODO_15","空"
40,"TEXT_JOBMCH580_01710_TODO_16","空"
41,"TEXT_JOBMCH580_01710_TODO_17","空"
42,"TEXT_JOBMCH580_01710_TODO_18","空"
43,"TEXT_JOBMCH580_01710_TODO_19","空"
44,"TEXT_JOBMCH580_01710_TODO_20","空"
