key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_CLSWDK530_01998_SEQ_00","雲霧街的巴爾托維厄想要一把新的弓箭。"
1,"TEXT_CLSWDK530_01998_SEQ_01","巴爾托維厄想要用新籌備的弓箭來狩獵大型的龍族。製作<hex:02280DFF07>ItemHQ<hex:F229730103>，交給雲霧街的巴爾托維厄。"
2,"TEXT_CLSWDK530_01998_SEQ_02","將<hex:02280DFF07>ItemHQ<hex:F229730103>交給了巴爾托維厄。巴爾托維厄被他的兒子無視了。代替他到伊修加爾德的天鋼機工坊，和菲利帕萊談談。"
3,"TEXT_CLSWDK530_01998_SEQ_03","雖然叫了菲利帕萊，但他不肯來。向雲霧街的巴爾托維厄報告。"
4,"TEXT_CLSWDK530_01998_SEQ_04","向巴爾托維厄報告完畢。祝願巴爾托維厄可以拿著冒險者製作的弓箭成功狩獵狐蛇飛龍。作為木工師繼續修行。<hex:02100103><hex:02100103>※木工師的等級達到55級以上時，可以從雲霧街的巴爾托維厄那裡領取下一個木工師任務。"
5,"TEXT_CLSWDK530_01998_SEQ_05","空"
6,"TEXT_CLSWDK530_01998_SEQ_06","空"
7,"TEXT_CLSWDK530_01998_SEQ_07","空"
8,"TEXT_CLSWDK530_01998_SEQ_08","空"
9,"TEXT_CLSWDK530_01998_SEQ_09","空"
10,"TEXT_CLSWDK530_01998_SEQ_10","空"
11,"TEXT_CLSWDK530_01998_SEQ_11","空"
12,"TEXT_CLSWDK530_01998_SEQ_12","空"
13,"TEXT_CLSWDK530_01998_SEQ_13","空"
14,"TEXT_CLSWDK530_01998_SEQ_14","空"
15,"TEXT_CLSWDK530_01998_SEQ_15","空"
16,"TEXT_CLSWDK530_01998_SEQ_16","空"
17,"TEXT_CLSWDK530_01998_SEQ_17","空"
18,"TEXT_CLSWDK530_01998_SEQ_18","空"
19,"TEXT_CLSWDK530_01998_SEQ_19","空"
20,"TEXT_CLSWDK530_01998_SEQ_20","空"
21,"TEXT_CLSWDK530_01998_SEQ_21","空"
22,"TEXT_CLSWDK530_01998_SEQ_22","空"
23,"TEXT_CLSWDK530_01998_SEQ_23","空"
24,"TEXT_CLSWDK530_01998_TODO_00","<hex:020848E3E802E803FF17>製作<hex:02280DFF07>ItemHQ<hex:F229730103><hex:FF29>將<hex:02280DFF07>ItemHQ<hex:F229730103>交給巴爾托維厄<hex:03>"
25,"TEXT_CLSWDK530_01998_TODO_01","和菲利帕萊對話"
26,"TEXT_CLSWDK530_01998_TODO_02","向巴爾托維厄報告"
27,"TEXT_CLSWDK530_01998_TODO_03","空"
28,"TEXT_CLSWDK530_01998_TODO_04","空"
29,"TEXT_CLSWDK530_01998_TODO_05","空"
30,"TEXT_CLSWDK530_01998_TODO_06","空"
31,"TEXT_CLSWDK530_01998_TODO_07","空"
32,"TEXT_CLSWDK530_01998_TODO_08","空"
33,"TEXT_CLSWDK530_01998_TODO_09","空"
34,"TEXT_CLSWDK530_01998_TODO_10","空"
35,"TEXT_CLSWDK530_01998_TODO_11","空"
36,"TEXT_CLSWDK530_01998_TODO_12","空"
37,"TEXT_CLSWDK530_01998_TODO_13","空"
38,"TEXT_CLSWDK530_01998_TODO_14","空"
39,"TEXT_CLSWDK530_01998_TODO_15","空"
40,"TEXT_CLSWDK530_01998_TODO_16","空"
41,"TEXT_CLSWDK530_01998_TODO_17","空"
42,"TEXT_CLSWDK530_01998_TODO_18","空"
43,"TEXT_CLSWDK530_01998_TODO_19","空"
44,"TEXT_CLSWDK530_01998_TODO_20","空"
45,"TEXT_CLSWDK530_01998_TODO_21","空"
