key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_HEAVNZ803_01933_SEQ_00","薩雷安精品工匠街的費爾茨默克斯看起來十分沮喪。"
1,"TEXT_HEAVNZ803_01933_SEQ_01","費爾茨默克斯因為釣不上魚而非常失落，正在散步解煩。費爾茨默克斯委託冒險者為她找來<hex:022811FF0A>EventItem<hex:F61E8B1B0103>。在薩雷安精品工匠街討伐<hex:02280FFF09>BNpcName<hex:F20E0C0103>，獲取3個<hex:022811FF0A>EventItem<hex:F61E8B1B0103>。"
2,"TEXT_HEAVNZ803_01933_SEQ_02","獲得了<hex:022811FF0A>EventItem<hex:F61E8B1B0103>。將<hex:022811FF0A>EventItem<hex:F61E8B1B0103>交給薩雷安精品工匠街的費爾茨默克斯。"
3,"TEXT_HEAVNZ803_01933_SEQ_03","將<hex:022811FF0A>EventItem<hex:F61E8B1B0103>交給了費爾茨默克斯。費爾茨默克斯將用<hex:022811FF0A>EventItem<hex:F61E8B1B0103>作為魚餌來釣魚，努力擺脫現在的萎靡狀態。"
4,"TEXT_HEAVNZ803_01933_SEQ_04","空"
5,"TEXT_HEAVNZ803_01933_SEQ_05","空"
6,"TEXT_HEAVNZ803_01933_SEQ_06","空"
7,"TEXT_HEAVNZ803_01933_SEQ_07","空"
8,"TEXT_HEAVNZ803_01933_SEQ_08","空"
9,"TEXT_HEAVNZ803_01933_SEQ_09","空"
10,"TEXT_HEAVNZ803_01933_SEQ_10","空"
11,"TEXT_HEAVNZ803_01933_SEQ_11","空"
12,"TEXT_HEAVNZ803_01933_SEQ_12","空"
13,"TEXT_HEAVNZ803_01933_SEQ_13","空"
14,"TEXT_HEAVNZ803_01933_SEQ_14","空"
15,"TEXT_HEAVNZ803_01933_SEQ_15","空"
16,"TEXT_HEAVNZ803_01933_SEQ_16","空"
17,"TEXT_HEAVNZ803_01933_SEQ_17","空"
18,"TEXT_HEAVNZ803_01933_SEQ_18","空"
19,"TEXT_HEAVNZ803_01933_SEQ_19","空"
20,"TEXT_HEAVNZ803_01933_SEQ_20","空"
21,"TEXT_HEAVNZ803_01933_SEQ_21","空"
22,"TEXT_HEAVNZ803_01933_SEQ_22","空"
23,"TEXT_HEAVNZ803_01933_SEQ_23","空"
24,"TEXT_HEAVNZ803_01933_TODO_00","從<hex:02280FFF09>BNpcName<hex:F20E0C0103>身上獲取<hex:022811FF0A>EventItem<hex:F61E8B1B0103>"
25,"TEXT_HEAVNZ803_01933_TODO_01","將<hex:022811FF0A>EventItem<hex:F61E8B1B0103>交給費爾茨默克斯"
26,"TEXT_HEAVNZ803_01933_TODO_02","空"
27,"TEXT_HEAVNZ803_01933_TODO_03","空"
28,"TEXT_HEAVNZ803_01933_TODO_04","空"
29,"TEXT_HEAVNZ803_01933_TODO_05","空"
30,"TEXT_HEAVNZ803_01933_TODO_06","空"
31,"TEXT_HEAVNZ803_01933_TODO_07","空"
32,"TEXT_HEAVNZ803_01933_TODO_08","空"
33,"TEXT_HEAVNZ803_01933_TODO_09","空"
34,"TEXT_HEAVNZ803_01933_TODO_10","空"
35,"TEXT_HEAVNZ803_01933_TODO_11","空"
36,"TEXT_HEAVNZ803_01933_TODO_12","空"
37,"TEXT_HEAVNZ803_01933_TODO_13","空"
38,"TEXT_HEAVNZ803_01933_TODO_14","空"
39,"TEXT_HEAVNZ803_01933_TODO_15","空"
40,"TEXT_HEAVNZ803_01933_TODO_16","空"
41,"TEXT_HEAVNZ803_01933_TODO_17","空"
42,"TEXT_HEAVNZ803_01933_TODO_18","空"
43,"TEXT_HEAVNZ803_01933_TODO_19","空"
44,"TEXT_HEAVNZ803_01933_TODO_20","空"
45,"TEXT_HEAVNZ803_01933_TODO_21","空"
46,"TEXT_HEAVNZ803_01933_TODO_22","空"
47,"TEXT_HEAVNZ803_01933_TODO_23","空"
48,"TEXT_HEAVNZ803_01933_FELTSMOX_000_000","呼哧……呼哧……<hex:02100103>為了換口氣 放鬆心情 出來散步哥布！<hex:02100103>即便如此 還是覺得 提不起勁哥布……"
49,"TEXT_HEAVNZ803_01933_FELTSMOX_000_001","哥布真的很想 享受釣魚……<hex:02100103>不知為何 狀態萎靡 怎麼都 釣不上來哥布！"
50,"TEXT_HEAVNZ803_01933_FELTSMOX_000_002","那邊那個 冒險者 哥布想 拜託你一件事……<hex:02100103>拜託你 把<hex:02280FFF09>BNpcName<hex:F20E0C0103> 揍一頓！<hex:02100103>然後 把它的魔眼 拿3個回來 拜託你……"
51,"TEXT_HEAVNZ803_01933_FELTSMOX_000_010","那邊那個 冒險者 哥布想 拜託你一件事……<hex:02100103>拜託你 把<hex:02280FFF09>BNpcName<hex:F20E0C0103> 揍一頓！<hex:02100103>然後 把它的魔眼 拿3個回來 拜託你……"
52,"TEXT_HEAVNZ803_01933_FELTSMOX_000_020","那邊那個 冒險者 哥布想 拜託你一件事……<hex:02100103>拜託你 把<hex:02280FFF09>BNpcName<hex:F20E0C0103> 揍一頓！<hex:02100103>然後 把它的魔眼 拿3個回來 拜託你……"
53,"TEXT_HEAVNZ803_01933_FELTSMOX_100_020","呼哧……呼哧……<hex:02100103>哎呀哎呀 謝謝 謝謝你！<hex:02100103>有了這個 哥布就能 擺脫萎靡狀態了！"
54,"TEXT_HEAVNZ803_01933_FELTSMOX_000_021","軟軟的魔眼 當做魚餌<hex:02100103>肯定能釣上 超級 超級多的魚！<hex:02100103>哥布 這就去 試試！"
