key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_KINGME111_04942_SEQ_00","永護塔前的烏克·拉瑪特有事想拜託冒險者。"
1,"TEXT_KINGME111_04942_SEQ_01","烏克·拉瑪特在與佐拉加的一對一決鬥中破壞了他的調魂器。佐拉加慌亂之中下令毀滅圖萊尤拉，但所幸有各地的同伴們出手相助，眾人一同擊退了敵軍。接到了報告的佐拉加下令收回永護塔所有居民的靈魂資源，並挾持趕來的古魯加，隨即撤退。和遺產之地先鋒營附近的烏克·拉瑪特談談。"
2,"TEXT_KINGME111_04942_SEQ_02","和烏克·拉瑪特進行了交談。再次和先鋒營附近的烏克·拉瑪特談談。"
3,"TEXT_KINGME111_04942_SEQ_03","和斯菲茵協力擊退了機器兵。返回九號解決方案。"
4,"TEXT_KINGME111_04942_SEQ_04","歐提斯為了守護城市而徹底停止運作了。和九號解決方案真唯大道的烏克·拉瑪特談談。"
5,"TEXT_KINGME111_04942_SEQ_05","和烏克·拉瑪特進行了交談。殘忍地傷害國民的佐拉加究竟想要做什麼……"
6,"TEXT_KINGME111_04942_SEQ_06",""
7,"TEXT_KINGME111_04942_SEQ_07",""
8,"TEXT_KINGME111_04942_SEQ_08",""
9,"TEXT_KINGME111_04942_SEQ_09",""
10,"TEXT_KINGME111_04942_SEQ_10",""
11,"TEXT_KINGME111_04942_SEQ_11",""
12,"TEXT_KINGME111_04942_SEQ_12",""
13,"TEXT_KINGME111_04942_SEQ_13",""
14,"TEXT_KINGME111_04942_SEQ_14",""
15,"TEXT_KINGME111_04942_SEQ_15",""
16,"TEXT_KINGME111_04942_SEQ_16",""
17,"TEXT_KINGME111_04942_SEQ_17",""
18,"TEXT_KINGME111_04942_SEQ_18",""
19,"TEXT_KINGME111_04942_SEQ_19",""
20,"TEXT_KINGME111_04942_SEQ_20",""
21,"TEXT_KINGME111_04942_SEQ_21",""
22,"TEXT_KINGME111_04942_SEQ_22",""
23,"TEXT_KINGME111_04942_SEQ_23",""
24,"TEXT_KINGME111_04942_TODO_00","和烏克·拉瑪特對話"
25,"TEXT_KINGME111_04942_TODO_01","再次和烏克·拉瑪特對話"
26,"TEXT_KINGME111_04942_TODO_02","再次和烏克·拉瑪特對話"
27,"TEXT_KINGME111_04942_TODO_03","和真唯大道的烏克·拉瑪特對話"
28,"TEXT_KINGME111_04942_TODO_04",""
29,"TEXT_KINGME111_04942_TODO_05",""
30,"TEXT_KINGME111_04942_TODO_06",""
31,"TEXT_KINGME111_04942_TODO_07",""
32,"TEXT_KINGME111_04942_TODO_08",""
33,"TEXT_KINGME111_04942_TODO_09",""
34,"TEXT_KINGME111_04942_TODO_10",""
35,"TEXT_KINGME111_04942_TODO_11",""
36,"TEXT_KINGME111_04942_TODO_12",""
37,"TEXT_KINGME111_04942_TODO_13",""
38,"TEXT_KINGME111_04942_TODO_14",""
39,"TEXT_KINGME111_04942_TODO_15",""
40,"TEXT_KINGME111_04942_TODO_16",""
41,"TEXT_KINGME111_04942_TODO_17",""
42,"TEXT_KINGME111_04942_TODO_18",""
43,"TEXT_KINGME111_04942_TODO_19",""
44,"TEXT_KINGME111_04942_TODO_20",""
45,"TEXT_KINGME111_04942_TODO_21",""
46,"TEXT_KINGME111_04942_TODO_22",""
47,"TEXT_KINGME111_04942_TODO_23",""
48,"TEXT_KINGME111_04942_ALISAIE_000_001","圖萊尤拉那邊就交給留守的各位吧。<hex:02100103>這邊也有我們必須要做的事。"
49,"TEXT_KINGME111_04942_SYSTEM_000_010","之後將會連續播放過場動畫，深度展開劇情。"
50,"TEXT_KINGME111_04942_SYSTEM_000_011","劇情的播放會花費一定的時間，<hex:02100103>推薦您在遊戲時間充足的情況下繼續。"
51,"TEXT_KINGME111_04942_WUKLAMAT_000_012","我們應該立刻趕去先鋒營……<hex:02100103>不過在那之前，我想拜託你們一件事。"
52,"TEXT_KINGME111_04942_WUKLAMAT_000_013","請讓我……<hex:02100103>和佐拉加一對一決鬥。"
53,"TEXT_KINGME111_04942_ALISAIE_000_014","這太危險了！<hex:02100103>有我們跟你在一起，你為什麼要冒這種險？！"
54,"TEXT_KINGME111_04942_WUKLAMAT_000_015","現在我們必須要做的有兩件事……"
55,"TEXT_KINGME111_04942_WUKLAMAT_000_016","首先是要將佐拉加留在穹頂內，<hex:02100103>以此保證圖萊尤拉的安全。"
56,"TEXT_KINGME111_04942_WUKLAMAT_100_016","除此以外，<hex:02100103>如果忘斷軍的瓦亞凱被他們抓做了人質，<hex:02100103>我們還要負責救她出來。"
57,"TEXT_KINGME111_04942_WUKLAMAT_000_017","因此，我必須獨自面對佐拉加，<hex:02100103>扮演他所尋求的勁敵。"
58,"TEXT_KINGME111_04942_WUKLAMAT_000_018","假如我帶著許多幫手，<hex:02100103>他可能會大失所望，將目標轉向圖萊尤拉。<hex:02100103>所以我必須堂堂正正地向他挑戰。"
59,"TEXT_KINGME111_04942_ALISAIE_000_019","你說的有道理……這麼做確實可以阻止佐拉加發兵，<hex:02100103>即使他強行進軍，決鬥也能削弱他的戰力，<hex:02100103>圖萊尤拉的防禦負擔便會減輕……"
60,"TEXT_KINGME111_04942_WUKLAMAT_000_020","況且我也不是要蠻幹。<hex:02100103>來到穹頂裡面，我們遇到了斯菲茵和卡赫奇瓦，<hex:02100103>瞭解了亞歷山德里亞的文化。"
61,"TEXT_KINGME111_04942_WUKLAMAT_000_021","我現在已經知道了佐拉加之所以能變強，<hex:02100103>秘訣就在於他的調魂器。"
62,"TEXT_KINGME111_04942_ALISAIE_000_022","難道說……"
63,"TEXT_KINGME111_04942_WUKLAMAT_000_023","沒錯，我的目標是調魂器。<hex:02100103>只要破壞掉它，佐拉加就無法用靈魂資源進行復活與強化……<hex:02100103>到時候，我就能和佐拉加平等地決鬥了。"
64,"TEXT_KINGME111_04942_WUKLAMAT_000_024","拜託……<hex:02100103>讓我和佐拉加戰鬥吧！"
65,"TEXT_KINGME111_04942_Q1_000_000","如何作答？"
66,"TEXT_KINGME111_04942_A1_000_001","我相信拉瑪提！"
67,"TEXT_KINGME111_04942_A1_000_002","我想我們的武王能贏！"
68,"TEXT_KINGME111_04942_WUKLAMAT_000_026","謝謝你！<hex:022903EB0203>！<hex:02100103>我就知道你肯定會相信我的！"
69,"TEXT_KINGME111_04942_ALISAIE_000_027","是啊……這是屬於拉瑪提的戰鬥。<hex:02100103>我們應該尊重你的想法……"
70,"TEXT_KINGME111_04942_ALISAIE_000_028","……不過，如果你沒能破壞他的調魂器，<hex:02100103>或者他指揮部下攻擊你，<hex:02100103>我們可就會直接動手幫忙了哦！"
71,"TEXT_KINGME111_04942_WUKLAMAT_000_029","好！謝謝你，阿莉塞！<hex:02100103>有你們在，我就能盡情戰鬥啦！"
72,"TEXT_KINGME111_04942_WUKLAMAT_000_030","我和柯納哥一定會保護好圖萊尤拉！"
